short_name,long_name,Community District,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
units_cert,Units issued new certificates of occupancy,QN 03 - Jackson Heights,72,90,190,200,185,321,336,326,420,183,204,194,165,185,76,52,84,66
units_cert,Units issued new certificates of occupancy,MN 01 - Financial District,580,324,618,336,817,981,859,694,1051,751,124,1282,232,66,-39,48,912,76
units_cert,Units issued new certificates of occupancy,MN 02 - Greenwich Village/Soho,19,63,257,16,259,143,193,237,117,180,238,63,2,53,11,54,417,257
units_cert,Units issued new certificates of occupancy,MN 03 - Lower East Side/Chinatown,667,186,885,213,216,516,640,704,98,94,462,77,109,66,387,71,255,655
units_cert,Units issued new certificates of occupancy,MN 04 - Clinton/Chelsea,1021,1668,1918,1610,606,738,1669,1187,812,2423,2368,1312,909,1733,1270,960,3030,1950
units_cert,Units issued new certificates of occupancy,BX 11 - Morris Park/Bronxdale,175,100,80,47,260,54,131,201,146,215,72,113,32,35,22,26,16,204
units_cert,Units issued new certificates of occupancy,BX 12 - Williamsbridge/Baychester,157,220,151,299,246,332,491,526,328,403,280,349,196,254,208,265,356,78
units_cert,Units issued new certificates of occupancy,BK 01 - Greenpoint/Williamsburg,114,355,449,755,780,710,942,844,1578,1304,2515,1251,993,1622,1146,1369,1596,2179
units_cert,Units issued new certificates of occupancy,MN 12 - Washington Heights/Inwood,0,0,117,0,6,0,0,108,25,61,48,138,1,15,77,52,62,35
units_cert,Units issued new certificates of occupancy,BX 01 - Mott Haven/Melrose,124,371,308,202,297,395,530,489,254,217,371,827,476,19,289,253,278,298
units_cert,Units issued new certificates of occupancy,BX 02 - Hunts Point/Longwood,68,0,112,54,109,169,549,215,458,282,277,379,15,122,12,0,141,69
units_cert,Units issued new certificates of occupancy,BX 03 - Morrisania/Crotona,90,391,129,142,330,556,637,556,1013,230,1185,739,132,403,271,200,492,613
units_cert,Units issued new certificates of occupancy,BX 04 - Highbridge/Concourse,331,0,37,244,586,436,293,808,359,59,427,45,137,59,303,85,45,356
units_cert,Units issued new certificates of occupancy,BX 05 - Fordham/University Heights,54,0,136,112,130,85,264,286,96,425,224,203,147,0,312,205,19,220
units_cert,Units issued new certificates of occupancy,BX 06 - Belmont/East Tremont,208,109,109,52,407,297,486,441,701,276,346,270,114,23,104,413,266,324
units_cert,Units issued new certificates of occupancy,BX 07 - Kingsbridge Heights/Bedford,0,2,3,0,50,85,170,182,98,148,435,53,172,123,82,210,157,248
units_cert,Units issued new certificates of occupancy,BX 08 - Riverdale/Fieldston,73,67,6,27,155,200,95,95,257,136,29,28,295,76,6,68,216,140
units_cert,Units issued new certificates of occupancy,BX 09 - Parkchester/Soundview,27,129,281,130,308,84,262,328,250,329,214,137,48,23,32,317,253,78
units_cert,Units issued new certificates of occupancy,BX 10 - Throgs Neck/Co-op City,88,188,196,129,270,295,318,290,182,183,128,144,24,108,28,251,61,44
units_cert,Units issued new certificates of occupancy,BK 02 - Fort Greene/Brooklyn Heights,86,396,14,326,163,319,488,1174,594,2126,1096,618,439,291,1368,1808,2119,2782
units_cert,Units issued new certificates of occupancy,BK 03 - Bedford Stuyvesant,94,237,71,565,664,607,816,875,595,597,344,541,446,387,278,521,918,793
units_cert,Units issued new certificates of occupancy,BK 04 - Bushwick,4,143,203,381,382,602,568,482,473,331,483,272,157,261,199,305,376,388
units_cert,Units issued new certificates of occupancy,BK 05 - East New York/Starrett City,485,341,445,449,415,483,679,742,534,385,365,405,248,228,41,471,416,560
units_cert,Units issued new certificates of occupancy,BK 06 - Park Slope/Carroll Gardens,34,43,174,145,376,196,180,67,490,330,459,332,71,231,120,92,951,901
units_cert,Units issued new certificates of occupancy,BK 07 - Sunset Park,55,93,7,147,90,115,130,263,508,151,240,299,60,77,257,122,22,84
units_cert,Units issued new certificates of occupancy,MN 05 - Midtown,594,510,444,344,659,364,655,1982,673,144,767,105,11,427,554,922,637,455
