short_name,long_name,Sub-Borough Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
hh_inc_rent_med_adj,"Median household income, renters ($2017)",Kingsbridge Heights/Mosholu,33850,31780.7472587222,33190,32486.7950903801,30186.0359337063,28249.5383286834,31686.7431514868,30514.5061523113,29144.4772283935,35680.5636552281,31695.8263419277,33506.2470715547
hh_inc_rent_med_adj,"Median household income, renters ($2017)",Riverdale/Kingsbridge,48070,47012.2917988219,47810,57399.1081592318,48317.1594215138,46989.6622160223,49066.1066212387,46168.2862210398,53979.3858265877,40960.573031549,53761.0928852693,46669.9617640917
hh_inc_rent_med_adj,"Median household income, renters ($2017)",Soundview/Parkchester,33540,37230.231082918,34110,38619.494787558,34046.7372954713,35337.5637704265,29733.4210675042,30395.4417470347,28552.7218075559,31089.8343772816,31238.2588137766,33765.2187648321
hh_inc_rent_med_adj,"Median household income, renters ($2017)",Throgs Neck/Co-op City,38770,49977.326869053,52440,52212.7916465209,40969.9215876702,46558.2268832204,40875.5951525525,41414.2146103536,39942.4454022653,46141.5241901395,38139.9023633893,43248.2727773242
hh_inc_rent_med_adj,"Median household income, renters ($2017)",Pelham Parkway,39000,40234.1997281377,41660,39417.8276543587,40189.8444843239,39881.5700146141,35450.3026828894,37709.3980711673,38710.8413638434,38520.2325635015,39060.1902071708,44916.2951796936
hh_inc_rent_med_adj,"Median household income, renters ($2017)",Williamsbridge/Baychester,38980,43660.3543271409,42570,42114.6211330806,37120.5585558957,36820.2743456888,34656.833334679,37212.9420241658,37068.3541445219,34247.3150674403,34988.4575411233,38344.1237825831
hh_inc_rent_med_adj,"Median household income, renters ($2017)",Williamsburg/Greenpoint,33340,34961.1336656094,44890,42237.6167816033,41533.436588198,41343.0990102298,49591.8342631541,46757.22979714,51546.4973737798,53996.0153710179,64136.7457533447,62466.2154804169
hh_inc_rent_med_adj,"Median household income, renters ($2017)",Sheepshead Bay/Gravesend,33480,30710.0739465338,37520,38183.3157747411,36538.9022273831,37237.2170187326,35647.5860454226,38620.4533865425,33291.9926956427,39591.2995427122,41769.5258637232,44711.3608869819
hh_inc_rent_med_adj,"Median household income, renters ($2017)",Brownsville/Ocean Hill,23160,20308.7260534662,25020,23913.5428489028,21914.7242056371,22699.9644612727,22560.761672547,24618.6919410265,23960.8670225399,22078.632133113,21946.7524313205,22513.2045640081
hh_inc_rent_med_adj,"Median household income, renters ($2017)",East Flatbush,44430,40211.0829179882,41610,42135.1204078344,41174.0115274992,37313.0247774678,38792.1961262403,43036.467132247,36795.4775281993,36724.8023671368,41045.0439441506,42560.0606003076
