short_name,long_name,Sub-Borough Area,2005-2009,2006-2010,2007-2011,2008-2012,2009-2013,2010-2014,2011-2015,2012-2016
gross_rent_0_1beds,"Median rent, studios and 1-bedrooms ($2017)",Bedford Stuyvesant,897.437262,919.564538,956.8485,968.115381,943.39836,958.408509,961.245123,1014
gross_rent_0_1beds,"Median rent, studios and 1-bedrooms ($2017)",Bushwick,851.842556,907.53694,935.5852,989.490034,1004.92434,1054.552974,1061.31165,1080
gross_rent_0_1beds,"Median rent, studios and 1-bedrooms ($2017)",East New York/Starrett City,867.41148,899.883014,903.69025,892.522096,892.12671,909.3242295,884.426375,933
gross_rent_0_1beds,"Median rent, studios and 1-bedrooms ($2017)",Park Slope/Carroll Gardens,1623.61636,1660.901942,1665.979555,1696.417582,1743.2361,1795.371378,1849.71459,1896
gross_rent_0_1beds,"Median rent, studios and 1-bedrooms ($2017)",Sunset Park,1006.41973,997.197216,984.49079,1034.324672,1058.246856,1086.938478,1105.785662,1144
gross_rent_0_1beds,"Median rent, studios and 1-bedrooms ($2017)",North Crown Heights/Prospect Heights,989.73874,1033.28001,1041.9017,1060.391322,1058.246856,1065.685491,1054.236239,1095
gross_rent_0_1beds,"Median rent, studios and 1-bedrooms ($2017)",Stuyvesant Town/Turtle Bay,1930.546576,1960.498474,1995.560705,1975.85207,2027.281041,2064.57588,2149.914171,2240
gross_rent_0_1beds,"Median rent, studios and 1-bedrooms ($2017)",Greenwich Village/Financial District,2076.227222,2156.220296,2193.309395,2245.902564,2325.682044,2379.322497,2428.887519,2476
gross_rent_0_1beds,"Median rent, studios and 1-bedrooms ($2017)",Lower East Side/Chinatown,958.600892,995.01038,991.932945,1060.391322,1094.137011,1139.564922,1213.938373,1298
gross_rent_0_1beds,"Median rent, studios and 1-bedrooms ($2017)",Chelsea/Clinton/Midtown,1774.857336,1786.645012,1821.201645,1915.377442,1979.08569,2055.467457,2160.021901,2216
gross_rent_0_1beds,"Median rent, studios and 1-bedrooms ($2017)",Upper West Side,1725.926432,1745.095128,1847.78077,1835.09216,1849.881132,1864.190574,1861.843866,1940
gross_rent_0_1beds,"Median rent, studios and 1-bedrooms ($2017)",Upper East Side,1841.581296,1848.969838,1853.096595,1866.37214,1891.923885,1927.949535,1928.554884,2025
gross_rent_0_1beds,"Median rent, studios and 1-bedrooms ($2017)",Morningside Heights/Hamilton Heights,1035.333446,1062.802296,1081.238805,1107.311292,1117.72197,1142.601063,1182.60441,1185
gross_rent_0_1beds,"Median rent, studios and 1-bedrooms ($2017)",Bayside/Little Neck,1231.057062,1230.09525,1265.16635,1305.417832,1337.164632,1366.26345,1394.86674,1397
