tax_delinquency,cartodb_id,tract_10,sba_name,ccd_name,cd_name,boro_name,city_name,bbl,ser_violation,assessed_value,owner_name,res_units,year_built,buildings,standard_address
,3332217,36005019900,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,2025100017,1,837000,ANDERSON HSNG ASSOC,41,1925,1,1230 Woodycrest Avenue
,3332220,36005022300,Highbridge/South Concourse,City Council District 14,BX 04 - Highbridge/Concourse,Bronx,New York City,2028440083,,1760850,WALTON AVE ASSOCIATES,79,1928,1,1478 Walton Avenue
,3332561,36081033402,Jamaica,City Council District 28,QN 12 - Jamaica/Hollis,Queens,New York City,4124950002,1,179631450,ROCHDALE VILLAGE INC,5860,1962,28,163-15 Baisley Boulevard
1,3332569,36005046201,Throgs Neck/Co-op City,City Council District 12,BX 10 - Throgs Neck/Co-op City,Bronx,New York City,2051410120,1,193306500,RIVERBAY CORPORATION,10914,1969,177,2049 Bartow Avenue
,3332576,36005021002,Soundview/Parkchester,City Council District 18,BX 09 - Parkchester/Soundview,Bronx,New York City,2039437501,1,46424448,PARKCHESTER SOUTH CON,3378,1941,45,14 Metropolitan Oval
,3332596,36047016400,Bay Ridge,City Council District 43,BK 10 - Bay Ridge/Dyker Heights,Brooklyn,New York City,3061530001,,124614000,THE UNITED STATES OF,,1931,137,9275 Ft Hamilton Parkway
,3333207,36047036100,Brownsville/Ocean Hill,City Council District 41,BK 16 - Brownsville,Brooklyn,New York City,3014710033,,349650,LIVONIA HOUSING DEVEL,20,1910,1,1521 Eastern Parkway
,3333258,36047000000,,City Council District 42,BK 05 - East New York/Starrett City,Brooklyn,New York City,3044520151,,477360,"STARRETT CITY, INC.",,,,Van Siclen Avenue
,3333312,36061001300,Greenwich Village/Financial District,City Council District 1,MN 01 - Financial District,Manhattan,New York City,1000157502,,29947051,THE DOWNTOWN CLUB CON,283,1930,1,20 West Street
,3333339,36061007400,Chelsea/Clinton/Midtown,City Council District 4,MN 05 - Midtown,Manhattan,New York City,1008610004,,21646350,MEPT 309 FIFTH AVENUE,165,2008,1,309 5 Avenue
1,3333374,36061023802,Upper East Side,City Council District 5,MN 08 - Upper East Side,Manhattan,New York City,1013730001,1,383494500,ROOSEVELT ISLAND OPER,8018,1975,34,40 River Road
,3333418,36081103201,Rockaways,City Council District 31,QN 14 - Rockaway/Broad Channel,Queens,New York City,4156610031,1,434700,COBB REALTY LLC,17,1998,1,22-59 Dix Avenue
,3333859,36047060000,Sheepshead Bay/Gravesend,City Council District 48,BK 15 - Sheepshead Bay,Brooklyn,New York City,3087867503,,191882,,6,2013,1,2752 East 27 Street
,3333951,36047030500,North Crown Heights/Prospect Heights,City Council District 35,BK 08 - Crown Heights/Prospect Heights,Brooklyn,New York City,3011490068,,167518,818 BERGEN LLC,8,1930,1,515 St Marks Avenue
,3334970,36085024800,South Shore,City Council District 51,SI 03 - Tottenville/Great Kills,Staten Island,New York City,5080470043,,423149,MAIN STREET PARTNERS,8,2006,1,203 Main Street
,3357470,36085015602,South Shore,City Council District 51,SI 03 - Tottenville/Great Kills,Staten Island,New York City,5053247501,,248152,,8,2010,1,4654 Amboy Road
