short_name,long_name,Community District,2013,2014,2015,2016,2017
pct_prof_ela,"Students performing at grade level in English language arts, 4th grade",BK 02 - Fort Greene/Brooklyn Heights,0.3128038898,0.3369734789,0.4003590664,0.5041876047,0.5305466238
pct_prof_ela,"Students performing at grade level in English language arts, 4th grade",BK 03 - Bedford Stuyvesant,0.1660550459,0.2093023256,0.2302325581,0.2938209332,0.312987013
pct_prof_ela,"Students performing at grade level in English language arts, 4th grade",BK 04 - Bushwick,0.1444636678,0.181184669,0.1581485053,0.2582914573,0.2803532009
pct_prof_ela,"Students performing at grade level in English language arts, 4th grade",BK 05 - East New York/Starrett City,0.1599558742,0.1925223214,0.186137507,0.2949802594,0.2978349912
pct_prof_ela,"Students performing at grade level in English language arts, 4th grade",BK 06 - Park Slope/Carroll Gardens,0.558854719,0.6040044494,0.6236024845,0.7045454545,0.6945373467
pct_prof_ela,"Students performing at grade level in English language arts, 4th grade",BK 07 - Sunset Park,0.2909647779,0.3270524899,0.3284717819,0.4258694326,0.4406580494
pct_prof_ela,"Students performing at grade level in English language arts, 4th grade",BK 08 - Crown Heights/Prospect Heights,0.2161654135,0.2803180915,0.3139534884,0.3939393939,0.395480226
pct_prof_ela,"Students performing at grade level in English language arts, 4th grade",BK 09 - South Crown Heights/Lefferts Gardens,0.1524879615,0.2301425662,0.2206477733,0.35,0.3681710214
pct_prof_ela,"Students performing at grade level in English language arts, 4th grade",BK 10 - Bay Ridge/Dyker Heights,0.3990697674,0.4600938967,0.4641544118,0.528,0.6076475478
pct_prof_ela,"Students performing at grade level in English language arts, 4th grade",BK 11 - Bensonhurst,0.4332061069,0.4860788863,0.4763757643,0.5736475629,0.5825136612
pct_prof_ela,"Students performing at grade level in English language arts, 4th grade",BK 12 - Borough Park,0.2845246357,0.3193717277,0.3535762483,0.475486904,0.4482071713
pct_prof_ela,"Students performing at grade level in English language arts, 4th grade",BK 13 - Coney Island,0.2976190476,0.3110539846,0.2823529412,0.4339622642,0.4170560748
