short_name,long_name,Community District,2013,2014,2015,2016,2017
pct_prof_math,"Students performing at grade level in math, 4th grade",MN 03 - Lower East Side/Chinatown,0.5308092056,0.5946153846,0.5650438947,0.5964467005,0.6008097166
pct_prof_math,"Students performing at grade level in math, 4th grade",MN 04 - Clinton/Chelsea,0.5812274368,0.6463878327,0.6626506024,0.6589595376,0.6493150685
pct_prof_math,"Students performing at grade level in math, 4th grade",MN 05 - Midtown,0.6842105263,0.6511627907,0.8863636364,0.8571428571,0.6829268293
pct_prof_math,"Students performing at grade level in math, 4th grade",MN 06 - Stuyvesant Town/Turtle Bay,0.7058823529,0.7055837563,0.7395348837,0.6714975845,0.6871794872
pct_prof_math,"Students performing at grade level in math, 4th grade",MN 07 - Upper West Side,0.6201923077,0.7040816327,0.6834733894,0.6916076845,0.7346153846
pct_prof_math,"Students performing at grade level in math, 4th grade",MN 08 - Upper East Side,0.6880733945,0.6952841596,0.7651598677,0.7606444189,0.7795698925
pct_prof_math,"Students performing at grade level in math, 4th grade",MN 09 - Morningside Heights/Hamilton,0.2305140962,0.2507936508,0.2238010657,0.2692307692,0.327510917
pct_prof_math,"Students performing at grade level in math, 4th grade",MN 10 - Central Harlem,0.1363004172,0.1579710145,0.1878531073,0.1745788668,0.1421875
pct_prof_math,"Students performing at grade level in math, 4th grade",MN 11 - East Harlem,0.2816773017,0.2722007722,0.3171225937,0.3173996176,0.3319415449
pct_prof_math,"Students performing at grade level in math, 4th grade",MN 12 - Washington Heights/Inwood,0.1962095875,0.2648967552,0.2806804374,0.2827324478,0.2783366868
pct_prof_math,"Students performing at grade level in math, 4th grade",QN 01 - Astoria,0.3773734177,0.4557069847,0.4580645161,0.4606365159,0.4465863454
pct_prof_math,"Students performing at grade level in math, 4th grade",QN 02 - Woodside/Sunnyside,0.4971698113,0.5278069255,0.5075690116,0.5066430469,0.4785223368
pct_prof_math,"Students performing at grade level in math, 4th grade",QN 03 - Jackson Heights,0.3123644252,0.344972067,0.34,0.3859407305,0.3268356075
pct_prof_math,"Students performing at grade level in math, 4th grade",QN 04 - Elmhurst/Corona,0.4051383399,0.4581955598,0.3928571429,0.3849333946,0.3683055312
pct_prof_math,"Students performing at grade level in math, 4th grade",QN 05 - Ridgewood/Maspeth,0.4254054054,0.4665948276,0.4967141292,0.5438130643,0.4862433862
pct_prof_math,"Students performing at grade level in math, 4th grade",QN 06 - Rego Park/Forest Hills,0.5673187572,0.6385135135,0.6126840317,0.6338028169,0.5971143174
pct_prof_math,"Students performing at grade level in math, 4th grade",QN 07 - Flushing/Whitestone,0.6357715431,0.6588013214,0.6669784846,0.6644021739,0.6489539749
pct_prof_math,"Students performing at grade level in math, 4th grade",QN 08 - Hillcrest/Fresh Meadows,0.4904246461,0.5960752249,0.5512489233,0.5476947536,0.4906785981
pct_prof_math,"Students performing at grade level in math, 4th grade",QN 09 - Kew Gardens/Woodhaven,0.4299583911,0.5329175329,0.5180467091,0.5243902439,0.459563543
pct_prof_math,"Students performing at grade level in math, 4th grade",QN 10 - South Ozone Park/Howard Beach,0.457225018,0.5028776978,0.516222062,0.5281227173,0.4841726619
pct_prof_math,"Students performing at grade level in math, 4th grade",QN 11 - Bayside/Little Neck,0.7904946654,0.7933962264,0.7912867275,0.8303747535,0.7781851512
pct_prof_math,"Students performing at grade level in math, 4th grade",QN 12 - Jamaica/Hollis,0.2387543253,0.2876579203,0.2608897127,0.2895125554,0.2600096479
pct_prof_math,"Students performing at grade level in math, 4th grade",QN 13 - Queens Village,0.3688280785,0.4185908822,0.4025500911,0.4250572082,0.4071428571
pct_prof_math,"Students performing at grade level in math, 4th grade",QN 14 - Rockaway/Broad Channel,0.2511737089,0.2524630542,0.2680995475,0.2459371614,0.264921466
pct_prof_math,"Students performing at grade level in math, 4th grade",SI 01 - St. George/Stapleton,0.3048065651,0.3167281673,0.3167173252,0.3545401966,0.3417431193
pct_prof_math,"Students performing at grade level in math, 4th grade",SI 02 - South Beach/Willowbrook,0.4360465116,0.4756801319,0.4664948454,0.4836867863,0.4498714653
pct_prof_math,"Students performing at grade level in math, 4th grade",SI 03 - Tottenville/Great Kills,0.5261239368,0.5692007797,0.5779132791,0.5831608006,0.5863874346
pct_prof_math,"Students performing at grade level in math, 4th grade",BX 01 - Mott Haven/Melrose,0.1255374033,0.1740674956,0.1785095321,0.2020774315,0.2190121156
pct_prof_math,"Students performing at grade level in math, 4th grade",BX 02 - Hunts Point/Longwood,0.1690391459,0.1983471074,0.1819620253,0.2243589744,0.1895973154
pct_prof_math,"Students performing at grade level in math, 4th grade",BX 03 - Morrisania/Crotona,0.1183246073,0.2086258776,0.1765873016,0.1943319838,0.1816091954
pct_prof_math,"Students performing at grade level in math, 4th grade",BX 04 - Highbridge/Concourse,0.1519473396,0.1773371105,0.1538461538,0.2501402131,0.240446796
pct_prof_math,"Students performing at grade level in math, 4th grade",BX 05 - Fordham/University Heights,0.1332445037,0.1836734694,0.185,0.2016280526,0.2195734003
pct_prof_math,"Students performing at grade level in math, 4th grade",BX 06 - Belmont/East Tremont,0.1909413854,0.1834319527,0.1569370735,0.2195744681,0.1208226221
pct_prof_math,"Students performing at grade level in math, 4th grade",BX 07 - Kingsbridge Heights/Bedford,0.2984542212,0.296037296,0.3174695299,0.3018223235,0.2599880739
pct_prof_math,"Students performing at grade level in math, 4th grade",BX 08 - Riverdale/Fieldston,0.3570469799,0.4048257373,0.421686747,0.4210526316,0.4041769042
pct_prof_math,"Students performing at grade level in math, 4th grade",BX 09 - Parkchester/Soundview,0.2469733656,0.2715751358,0.2489316239,0.2732181425,0.2281234193
pct_prof_math,"Students performing at grade level in math, 4th grade",BX 10 - Throgs Neck/Co-op City,0.3294979079,0.402027027,0.3846938776,0.3935281837,0.375
pct_prof_math,"Students performing at grade level in math, 4th grade",BX 11 - Morris Park/Bronxdale,0.2707317073,0.3745051465,0.2980544747,0.3548387097,0.3353705118
