,Sub-Borough,puma,Zip codes
0,Astoria,4101,11101 11102 11103 11104 11105 11106
1,Bay Ridge,4013,11209 11220
2,Bayside/Little Neck,4104, 11361 11364 11363 11362
3,Bedford Stuyvesant,4003,11216 11221 11233 11206 11238 11205
4,Bensonhurst,4017,11214 11204 11228 11219 
5,Borough Park,4014,11204 11218 11219 11230
6,Brooklyn Heights/Fort Greene,4004,11201 11217 11205 11238 11243 11251
7,Brownsville/Ocean Hill,4007,11212 11236 11233 
8,Bushwick,4002,11237 11221 11206 11207
9,Central Harlem,3803,10026 10027 10030 10037 10039
10,Chelsea/Clinton/Midtown,3807,10001 10011 10018 10019 10020 10036
11,Coney Island,4018, 11224
12,East Flatbush,4010,11203
13,East Harlem,3804,10029 10035
14,East New York/Starrett City,4008,11207 11212 11208 11239 11236 11256 
15,Elmhurst/Corona,4107,11373 11368
16,Flatbush,4015,11226 11210
17,Flatlands/Canarsie,4009,11234 11236 11239
18,Flushing/Whitestone,4103,11355 11354 11351 11357 11356 11352 11386 11359 11360 11358
19,Greenwich Village/Financial District,3810,10012 10013 10014 10282 10281 10280 10004 10006 10048 10007 10038 10005 10004
20,Highbridge/South Concourse,3708,10451 10452 10456
21,Hillcrest/Fresh Meadows,4106,11365 11366 11367
22,Jackson Heights,4102,11372 11371 11369
23,Jamaica,4112,11412 11423 11432 11433 11434 11435 11436
24,Kingsbridge Heights/Mosholu,3706,10463 10468
25,Lower East Side/Chinatown,3809,10002 10003 10009
26,Mid-Island,3902, 10314 10304 10305
27,Middle Village/Ridgewood,4110,11379 11385 11378
28,Morningside Heights/Hamilton Heights,3802,10027 10115 10025 10031
29,Morrisania/Belmont,3705,10456 10459 10460
30,Mott Haven/Hunts Point,3710,10454 10455 10459 10474 11370
31,North Crown Heights/Prospect Heights,4006,11238
32,North Shore,3903,11005 10301 10310 10302 10303
33,Ozone Park/Woodhaven,4111,11416 11417 11421 11415 11418 11419
34,Park Slope/Carroll Gardens,4005,11215 11231 
35,Pelham Parkway,3704,10461 10462
36,Queens Village,4105, 11430 11413 11422 11411 11429 11428 11427 11426 11404 11040 11001 11004
37,Rego Park/Forest Hills,4108,11374 11375
38,Riverdale/Kingsbridge,3701,10471 10463
39,Rockaways,4114, 11693 11697 11694 11692 11691 11096
40,Sheepshead Bay/Gravesend,4016, 11229 11235 11223
41,Soundview/Parkchester,3709,10473 10472 10462
42,South Crown Heights,4011,11213 11216 11233 11225
43,South Ozone Park/Howard Beach,4113, 11420 11414
44,South Shore,3901, 10306 10308 10312 10309 10307
45,Stuyvesant Town/Turtle Bay,3808,10003 10009 10017 10022 10016 10010
46,Sunnyside/Woodside,4109,11104 11377
47,Sunset Park,4012,11220 11232 
48,Throgs Neck/Co-op City,3703, 10464 10465 10475
49,University Heights/Fordham,3707,10453 10468 10458 10457
50,Upper East Side,3805,10021 10028 10044 10065 10075 10128
51,Upper West Side,3806,10023 10024 10025 00083 10069
52,Washington Heights/Inwood,3801,10031 10032 10033 10034 10040
53,Williamsbridge/Baychester,3702,10466 10467 10469  10470
54,Williamsburg/Greenpoint,4001,11211 11205 11206 11222 11249
