Sub-Borough,puma
Mott Haven/Hunts Point,3710
Morrisania/Belmont,3705
Highbridge/South Concourse,3708
University Heights/Fordham,3707
Kingsbridge Heights/Mosholu,3706
Riverdale/Kingsbridge,3701
Soundview/Parkchester,3709
Throgs Neck/Co-op City,3703
Pelham Parkway,3704
Williamsbridge/Baychester,3702
Williamsburg/Greenpoint,4001
Brooklyn Heights/Fort Greene,4004
Bedford Stuyvesant,4003
Bushwick,4002
East New York/Starrett City,4008
Park Slope/Carroll Gardens,4005
Sunset Park,4012
North Crown Heights/Prospect Heights,4006
South Crown Heights,4011
Bay Ridge,4013
Bensonhurst,4017
Borough Park,4014
Coney Island,4018
Flatbush,4015
Sheepshead Bay/Gravesend,4016
Brownsville/Ocean Hill,4007
East Flatbush,4010
Flatlands/Canarsie,4009
Greenwich Village/Financial District,3810
Lower East Side/Chinatown,3809
Chelsea/Clinton/Midtown,3807
Stuyvesant Town/Turtle Bay,3808
Upper West Side,3806
Upper East Side,3805
Morningside Heights/Hamilton Heights,3802
Central Harlem,3803
East Harlem,3804
Washington Heights/Inwood,3801
Astoria,4101
Sunnyside/Woodside,4109
Jackson Heights,4102
Elmhurst/Corona,4107
Middle Village/Ridgewood,4110
Rego Park/Forest Hills,4108
Flushing/Whitestone,4103
Hillcrest/Fresh Meadows,4106
Ozone Park/Woodhaven,4111
South Ozone Park/Howard Beach,4113
Bayside/Little Neck,4104
Jamaica,4112
Queens Village,4105
Rockaways,4114
North Shore,3903
Mid-Island,3902
South Shore,3901
